epoch,acc,loss,lr,val_acc,val_loss
0,0.500820262484,1.77033142061,0.001,0.5848,1.46964046116
1,0.618695965418,1.35018499914,0.001,0.6581,1.23762674656
2,0.667827409542,1.19533607565,0.001,0.671,1.19289492989
3,0.698747198207,1.10700851902,0.001,0.7247,1.05300965424
4,0.71791946846,1.05325595009,0.001,0.742,0.982622534561
5,0.733869676593,1.0034487975,0.001,0.7363,1.00867504559
6,0.748258885687,0.970836571459,0.001,0.7604,0.947466726494
7,0.75788504643,0.940362987307,0.001,0.7711,0.914064616585
8,0.765710054435,0.921913658145,0.001,0.7813,0.887984915924
9,0.773675152097,0.895664206156,0.001,0.7765,0.887548689079
10,0.781019852706,0.883510688044,0.001,0.7693,0.92244748373
11,0.786943643932,0.866502471719,0.001,0.7483,0.989038634682
12,0.790545949408,0.852824817092,0.001,0.7893,0.869252652454
13,0.796209574127,0.841339713138,0.001,0.7908,0.855704046822
14,0.802473583093,0.826763337959,0.001,0.7865,0.883471053314
15,0.8015129683,0.823719430516,0.001,0.7782,0.892501343441
16,0.807676913224,0.812564591414,0.001,0.7684,0.935122258854
17,0.810038424592,0.800794178539,0.001,0.8155,0.794978153801
18,0.810959013769,0.799113140078,0.001,0.803,0.827452049541
19,0.814361191162,0.790991733118,0.001,0.798,0.841928376102
20,0.81516170349,0.788523971615,0.001,0.809,0.811652089119
21,0.819284341979,0.777580181261,0.001,0.8052,0.823404773426
22,0.817503202049,0.77747884783,0.001,0.8073,0.811935007763
23,0.822766570605,0.766375439006,0.001,0.7951,0.855019168854
24,0.856247998719,0.655275355346,0.000316228,0.8455,0.689563113594
25,0.868375760487,0.611378660492,0.000316228,0.8452,0.667595023727
26,0.873499039385,0.585874460444,0.000316228,0.8473,0.675197270775
27,0.877681716298,0.563986346579,0.000316228,0.847,0.674109546661
28,0.880843739994,0.553029922656,0.000316228,0.8497,0.659032935667
29,0.88376560999,0.53786715158,0.000316228,0.8542,0.642872483158
30,0.885466698687,0.531466646508,0.000316228,0.8555,0.643818970013
31,0.887307877041,0.520051914045,0.000316228,0.8479,0.661951265335
32,0.889089016971,0.513886660328,0.000316228,0.854,0.651673862457
33,0.891490553955,0.505358842667,0.000316228,0.8461,0.666941955566
34,0.8933117195,0.499273210478,0.000316228,0.8537,0.636577075958
35,0.895593179635,0.489425994573,0.000316228,0.8501,0.654502279186
